id,user_id,completed_at,item_total,shipment_total
258666,32105,2022-08-01 03:27,38.11,2.5
258691,32119,2022-08-01 08:22,39.31,2.5
258700,32124,2022-08-01 09:06,40.52,2.5
258701,32125,2022-08-01 09:08,47.52,2.5
258697,32122,2022-08-01 09:09,38.95,2.5
258654,32096,2022-08-01 09:38,47.62,2.5
258708,9365,2022-08-01 09:46,31.05,2.5
258715,32131,2022-08-01 10:06,38.24,2.5
258717,32132,2022-08-01 10:13,50.82,2.5
253736,29324,2022-08-01 10:14,50.3,2.5
258689,32118,2022-08-01 10:20,38.15,2.5
258719,32133,2022-08-01 10:33,39.8,2.5
235975,24736,2022-08-01 10:51,49.03,2.5
258733,32140,2022-08-01 11:15,42.57,2.5
258752,32154,2022-08-01 12:41,41.56,2.5
258444,31981,2022-08-01 12:51,40.72,2.5
258759,32158,2022-08-01 13:11,38.9,2.5
258764,32163,2022-08-01 13:28,48.4,2.5
253301,27775,2022-08-01 13:32,32.45,2.5
258771,32168,2022-08-01 14:06,48.12,2.5
258772,32169,2022-08-01 14:11,40.33,2.5
258776,32171,2022-08-01 14:31,47.55,2.5
256339,27073,2022-08-01 15:16,31.43,2.5
44057,100,2022-08-01 15:16,128.65,2.5
258800,32189,2022-08-01 15:51,65.56,2.5
254122,22014,2022-08-01 16:15,27.52,6.0
258805,32193,2022-08-01 16:21,48.82,2.5
258809,32196,2022-08-01 16:46,49.2,2.5
258821,32202,2022-08-01 17:18,38.5,2.5
258827,32208,2022-08-01 17:27,40.37,2.5
255713,22103,2022-08-01 18:14,27.44,6.0
258804,32191,2022-08-01 18:32,48.52,2.5
258843,32220,2022-08-01 18:37,47.68,2.5
241858,26331,2022-08-01 18:48,37.48,2.5
258848,32226,2022-08-01 18:51,40.83,2.5
258831,32210,2022-08-01 18:59,48.23,2.5
257292,31277,2022-08-01 19:00,48.6,2.5
253702,28493,2022-08-01 19:20,50.22,2.5
258866,32235,2022-08-01 20:28,38.28,2.5
258874,32241,2022-08-01 20:46,49.2,2.5
258885,32250,2022-08-01 21:32,39.06,2.5
45214,1673,2022-08-01 21:38,39.97,2.5
258903,32263,2022-08-02 03:05,49.67,2.5
252643,28953,2022-08-02 05:07,33.13,2.5
258910,32268,2022-08-02 05:51,37.95,2.5
258918,32273,2022-08-02 06:11,44.85,2.5
241687,26288,2022-08-02 06:18,48.06,2.5
258920,32274,2022-08-02 06:29,50.53,2.5
258924,32278,2022-08-02 06:38,38.59,2.5
258882,32248,2022-08-02 06:42,41.74,2.5
258925,32279,2022-08-02 06:59,48.27,2.5
258928,32282,2022-08-02 07:05,58.3,2.5
15023,288,2022-08-02 07:09,64.39,2.5
258930,32283,2022-08-02 07:13,26.38,6.0
258933,32285,2022-08-02 07:17,25.5,6.0
258917,32272,2022-08-02 07:46,48.01,2.5
258941,32288,2022-08-02 08:01,48.34,2.5
258565,32049,2022-08-02 08:49,41.89,2.5
108735,18752,2022-08-02 08:58,95.21,2.5
258953,32292,2022-08-02 09:00,51.26,2.5
258963,32295,2022-08-02 09:52,39.5,2.5
258969,32300,2022-08-02 10:00,23.07,6.0
258967,32298,2022-08-02 10:02,40.91,2.5
258971,32301,2022-08-02 10:03,47.56,2.5
258968,32299,2022-08-02 10:13,43.11,2.5
258977,32304,2022-08-02 10:15,18.66,6.0
258965,32296,2022-08-02 10:27,38.15,2.5
258983,32309,2022-08-02 11:08,49.2,2.5
257932,31641,2022-08-02 11:12,49.06,2.5
258989,32313,2022-08-02 11:13,45.69,2.5
258999,32321,2022-08-02 11:27,47.68,2.5
258993,32316,2022-08-02 11:32,41.1,2.5
259003,32323,2022-08-02 11:41,32.55,2.5
256140,20076,2022-08-02 12:22,57.26,2.5
233382,24194,2022-08-02 12:29,49.33,2.5
259024,32336,2022-08-02 13:07,39.46,2.5
259029,32339,2022-08-02 13:31,47.98,2.5
254353,28334,2022-08-02 13:46,27.07,6.0
259033,32342,2022-08-02 13:54,50.08,2.5
135849,8048,2022-08-02 14:18,131.36,2.5
259039,32345,2022-08-02 14:20,39.97,2.5
252702,192,2022-08-02 14:26,87.2,2.5
259040,32346,2022-08-02 14:30,42.54,2.5
259046,32349,2022-08-02 14:46,38.61,2.5
256298,30426,2022-08-02 14:56,33.66,2.5
259068,32360,2022-08-02 15:56,50.8,2.5
259075,32365,2022-08-02 16:06,43.44,2.5
257203,13314,2022-08-02 16:16,27.12,6.0
259091,32374,2022-08-02 16:40,38.82,2.5
259071,32362,2022-08-02 16:47,55.39,2.5
259089,32373,2022-08-02 16:48,48.26,2.5
255571,30379,2022-08-02 16:51,39.32,2.5
259102,32379,2022-08-02 17:17,51.49,2.5
259114,32390,2022-08-02 17:51,38.28,2.5
253012,15,2022-08-02 17:59,59.19,2.5
255244,30186,2022-08-02 18:04,33.6,2.5
255975,27801,2022-08-02 18:42,44.18,2.5
259129,32397,2022-08-02 19:03,48.54,2.5
259133,31483,2022-08-02 19:27,31.15,2.5
259142,32403,2022-08-02 19:39,47.78,2.5
206728,4004,2022-08-02 19:41,61.04,2.5
259154,32410,2022-08-02 20:07,48.26,2.5
259158,32415,2022-08-02 20:21,51.12,2.5
259159,32416,2022-08-02 20:25,47.25,2.5
259157,32413,2022-08-02 20:32,47.89,2.5
253437,29198,2022-08-02 20:40,46.6,2.5
259169,32422,2022-08-02 21:01,48.68,2.5
243224,26721,2022-08-02 21:03,52.8,2.5
259174,32424,2022-08-02 21:16,48.36,2.5
259182,32429,2022-08-02 21:46,45.06,2.5
259186,32431,2022-08-02 22:34,48.57,2.5
153173,19519,2022-08-03 01:45,30.43,2.5
258599,32011,2022-08-03 05:28,32.73,2.5
259204,32441,2022-08-03 05:28,55.3,2.5
206696,7126,2022-08-03 05:40,161.64,2.5
259210,32446,2022-08-03 07:02,39.37,2.5
259213,10733,2022-08-03 07:31,39.16,2.5
259215,32449,2022-08-03 07:34,50.13,2.5
259220,29784,2022-08-03 07:40,31.39,2.5
259217,32450,2022-08-03 07:44,48.48,2.5
240284,26039,2022-08-03 08:30,67.16,2.5
259228,32454,2022-08-03 08:32,53.98,2.5
259233,32458,2022-08-03 08:35,48.57,2.5
259229,32455,2022-08-03 08:41,38.89,2.5
259232,32457,2022-08-03 08:43,39.96,2.5
259240,32463,2022-08-03 09:21,49.83,2.5
259239,32462,2022-08-03 09:37,38.1,2.5
253360,29149,2022-08-03 09:44,37.83,2.5
259258,32475,2022-08-03 09:52,49.2,2.5
259250,32469,2022-08-03 09:52,41.15,2.5
259263,32479,2022-08-03 10:14,60.98,2.5
259276,32488,2022-08-03 11:01,38.73,2.5
259281,32492,2022-08-03 11:15,40.85,5.0
259290,32497,2022-08-03 12:01,53.42,2.5
259299,32504,2022-08-03 12:24,47.52,2.5
259306,32509,2022-08-03 12:56,62.29,2.5
259316,32515,2022-08-03 13:43,42.84,2.5
259326,32522,2022-08-03 13:55,46.78,2.5
259319,32516,2022-08-03 14:00,36.94,2.5
259328,32524,2022-08-03 14:04,47.69,2.5
258892,32255,2022-08-03 14:10,52.77,2.5
259334,32528,2022-08-03 14:41,47.06,2.5
256342,30769,2022-08-03 14:50,46.97,2.5
259340,32533,2022-08-03 15:15,37.76,2.5
256400,3127,2022-08-03 15:35,81.13,2.5
259092,27890,2022-08-03 15:37,66.35,2.5
254293,29506,2022-08-03 15:49,28.48,6.0
259351,32540,2022-08-03 15:52,50.33,2.5
259304,32507,2022-08-03 15:52,48.81,2.5
259354,32542,2022-08-03 15:58,38.61,2.5
257204,3705,2022-08-03 16:09,35.04,2.5
259273,32486,2022-08-03 16:25,48.6,2.5
258581,29039,2022-08-03 16:42,62.73,2.5
259371,32551,2022-08-03 16:58,37.2,2.5
259374,32553,2022-08-03 17:02,48.41,2.5
259383,32558,2022-08-03 17:11,47.98,2.5
259381,32557,2022-08-03 17:11,70.55,2.5
259387,32562,2022-08-03 17:24,37.74,2.5
259388,32563,2022-08-03 17:24,36.88,2.5
259384,32559,2022-08-03 17:26,36.98,2.5
259386,32561,2022-08-03 17:29,56.58,2.5
244597,25758,2022-08-03 17:46,31.9,2.5
254527,29713,2022-08-03 18:30,50.85,2.5
259403,32572,2022-08-03 18:31,37.62,2.5
258414,31964,2022-08-03 19:21,38.91,2.5
259415,32578,2022-08-03 19:29,40.49,2.5
259418,32580,2022-08-03 19:33,47.21,2.5
250271,28387,2022-08-03 20:25,48.84,2.5
259435,32588,2022-08-03 20:57,42.57,2.5
259438,32590,2022-08-03 21:08,47.15,2.5
259461,32600,2022-08-04 05:35,39.97,2.5
259465,32602,2022-08-04 06:11,49.41,2.5
236634,23978,2022-08-04 07:29,53.13,2.5
259478,32610,2022-08-04 07:54,44.71,2.5
259483,32613,2022-08-04 08:06,47.06,2.5
259482,32612,2022-08-04 08:09,35.14,2.5
259481,30784,2022-08-04 08:09,40.0,2.5
231107,23553,2022-08-04 08:16,39.27,2.5
258815,32193,2022-08-04 08:26,30.14,2.5
259490,32615,2022-08-04 08:44,50.51,2.5
237711,25381,2022-08-04 08:48,66.65,2.5
255487,30137,2022-08-04 09:11,39.37,2.5
259499,32618,2022-08-04 09:16,48.99,2.5
259501,3030,2022-08-04 09:38,121.76,2.5
259370,32196,2022-08-04 10:06,47.31,2.5
259509,27045,2022-08-04 10:10,32.7,2.5
259507,32622,2022-08-04 11:07,47.74,2.5
259532,32632,2022-08-04 11:42,82.17,2.5
258828,5398,2022-08-04 12:12,26.66,6.0
259583,32673,2022-08-04 14:44,87.14,2.5
259584,32673,2022-08-04 14:48,63.06,2.5
259586,32677,2022-08-04 15:04,47.37,2.5
259589,32680,2022-08-04 15:14,61.29,2.5
243453,17792,2022-08-04 15:26,67.62,2.5
259591,32682,2022-08-04 15:32,137.32,2.5
259592,32683,2022-08-04 15:50,48.81,2.5
259608,5603,2022-08-04 16:16,67.49,2.5
234377,8592,2022-08-04 16:57,46.08,2.5
259626,32706,2022-08-04 17:34,38.15,2.5
259624,32705,2022-08-04 17:36,39.74,2.5
259629,32708,2022-08-04 17:42,42.09,2.5
259636,32712,2022-08-04 17:55,48.87,2.5
259631,32709,2022-08-04 17:57,54.18,2.5
255589,117,2022-08-04 18:18,228.76,5.5
259642,32715,2022-08-04 18:18,36.63,2.5
259578,32668,2022-08-04 19:06,48.55,2.5
259654,32723,2022-08-04 19:52,36.77,2.5
259612,32695,2022-08-04 19:52,47.66,2.5
153222,7788,2022-08-04 19:56,70.33,2.5
259660,32726,2022-08-04 20:01,36.57,2.5
259646,32719,2022-08-04 20:07,47.95,2.5
259666,32729,2022-08-04 21:07,50.98,2.5
259671,32732,2022-08-04 22:18,48.41,2.5
259678,32738,2022-08-04 23:55,40.65,2.5
259688,32745,2022-08-05 05:11,25.9,6.0
259692,32747,2022-08-05 06:13,48.49,2.5
259697,32751,2022-08-05 07:01,37.78,2.5
259698,32752,2022-08-05 07:04,41.83,2.5
256273,7,2022-08-05 07:18,371.31,8.5
259700,32753,2022-08-05 07:20,38.61,2.5
259702,32755,2022-08-05 07:28,39.99,2.5
259701,32754,2022-08-05 07:33,48.49,2.5
255852,27163,2022-08-05 07:54,83.93,2.5
259704,32758,2022-08-05 07:56,47.44,2.5
256723,30960,2022-08-05 08:12,34.69,2.5
259712,32763,2022-08-05 08:20,76.4,2.5
259713,32764,2022-08-05 08:24,41.75,2.5
259714,32765,2022-08-05 08:27,44.03,2.5
259720,32770,2022-08-05 08:56,47.56,2.5
255976,28978,2022-08-05 09:08,31.71,2.5
259729,32775,2022-08-05 09:40,37.27,2.5
259539,32635,2022-08-05 09:42,39.83,2.5
252832,28988,2022-08-05 10:01,37.15,2.5
259606,32690,2022-08-05 10:08,38.5,2.5
259737,32781,2022-08-05 10:11,50.29,2.5
259743,32786,2022-08-05 10:16,45.36,2.5
258532,32029,2022-08-05 10:36,50.39,2.5
257413,26559,2022-08-05 11:03,28.45,6.0
259227,32453,2022-08-05 11:04,46.93,2.5
259753,32793,2022-08-05 11:24,44.03,2.5
259760,29700,2022-08-05 11:52,51.1,2.5
259774,32804,2022-08-05 12:56,48.38,2.5
259781,32808,2022-08-05 12:57,48.74,2.5
249538,8157,2022-08-05 13:16,119.47,2.5
259797,32818,2022-08-05 13:49,48.08,2.5
257808,31327,2022-08-05 14:15,31.62,2.5
259802,32821,2022-08-05 14:21,50.54,2.5
259806,32824,2022-08-05 14:26,47.26,2.5
259447,32595,2022-08-05 14:53,48.39,2.5
259563,32656,2022-08-05 15:03,48.72,2.5
259597,32686,2022-08-05 16:04,50.27,2.5
259831,32843,2022-08-05 16:19,62.65,2.5
259832,32844,2022-08-05 16:32,46.67,2.5
256533,9069,2022-08-05 17:13,31.28,2.5
259840,32851,2022-08-05 17:43,47.72,2.5
259852,32859,2022-08-05 17:53,38.21,2.5
258712,27998,2022-08-05 18:12,30.95,2.5
259856,32861,2022-08-05 18:17,38.46,2.5
259863,32866,2022-08-05 18:46,29.89,6.0
259868,32870,2022-08-05 20:27,50.43,2.5
256357,30775,2022-08-05 20:47,33.99,2.5
259872,32872,2022-08-05 21:43,46.92,2.5
259879,9165,2022-08-05 22:57,45.95,2.5
259881,32879,2022-08-05 23:59,50.39,2.5
259889,32883,2022-08-06 05:42,43.78,2.5
259892,32885,2022-08-06 06:07,38.91,2.5
258269,31863,2022-08-06 06:10,31.48,2.5
258477,31335,2022-08-06 06:34,54.06,2.5
259903,32891,2022-08-06 07:24,45.23,2.5
259902,32890,2022-08-06 07:24,45.82,2.5
259904,32892,2022-08-06 07:38,39.66,2.5
259921,32901,2022-08-06 09:30,47.6,2.5
259923,32902,2022-08-06 09:44,41.34,2.5
259932,32906,2022-08-06 10:40,36.71,2.5
231373,23645,2022-08-06 10:49,40.22,2.5
259940,32909,2022-08-06 11:12,37.73,2.5
255167,30022,2022-08-06 11:15,31.26,2.5
259944,32912,2022-08-06 11:28,37.76,2.5
259942,32911,2022-08-06 11:31,48.72,2.5
257616,282,2022-08-06 11:35,112.14,2.5
257318,27316,2022-08-06 12:25,29.62,6.0
250806,1579,2022-08-06 12:27,102.64,2.5
259953,32917,2022-08-06 12:49,41.28,2.5
256796,20109,2022-08-06 12:59,55.56,2.5
246544,27780,2022-08-06 13:28,47.98,2.5
259957,32919,2022-08-06 13:41,58.12,2.5
99431,71,2022-08-06 13:45,73.24,2.5
259960,32921,2022-08-06 13:47,36.59,2.5
259967,32927,2022-08-06 14:05,28.16,6.0
259973,32927,2022-08-06 14:15,27.77,6.0
259972,32929,2022-08-06 14:19,38.07,2.5
259974,32927,2022-08-06 14:20,26.89,6.0
256582,19396,2022-08-06 14:41,62.97,2.5
259982,30242,2022-08-06 14:49,32.51,2.5
259999,32945,2022-08-06 15:47,47.91,2.5
256391,30796,2022-08-06 16:05,52.39,2.5
260010,32955,2022-08-06 16:16,38.42,2.5
259993,32942,2022-08-06 16:16,49.4,2.5
260021,32927,2022-08-06 16:33,28.3,6.0
260023,32965,2022-08-06 17:00,47.77,2.5
259062,32357,2022-08-06 17:17,37.67,2.5
254545,28073,2022-08-06 17:20,27.48,6.0
260035,32971,2022-08-06 17:43,44.3,2.5
253896,29387,2022-08-06 18:42,53.04,2.5
239665,25055,2022-08-06 19:22,64.64,2.5
260053,32981,2022-08-06 19:34,59.85,2.5
260055,32983,2022-08-06 20:14,31.68,2.5
260057,32983,2022-08-06 20:17,27.74,6.0
253510,1443,2022-08-06 20:57,68.15,2.5
257041,6530,2022-08-06 21:11,61.49,2.5
260064,32990,2022-08-06 21:19,37.41,2.5
260074,32998,2022-08-07 00:04,37.98,2.5
260073,32997,2022-08-07 00:18,86.34,2.5
259955,5770,2022-08-07 05:13,32.45,2.5
250489,28435,2022-08-07 05:18,49.43,2.5
258417,31965,2022-08-07 06:32,37.0,2.5
260085,33006,2022-08-07 07:01,36.57,2.5
260088,33008,2022-08-07 07:30,45.63,2.5
260090,33010,2022-08-07 07:48,48.82,2.5
260056,32984,2022-08-07 07:56,47.91,2.5
260094,33013,2022-08-07 08:03,48.72,2.5
259938,32908,2022-08-07 08:35,31.04,2.5
260109,33022,2022-08-07 08:41,37.37,2.5
260112,33023,2022-08-07 08:48,68.15,2.5
260111,20479,2022-08-07 08:51,33.12,2.5
260117,33026,2022-08-07 09:19,37.64,2.5
260123,33030,2022-08-07 09:29,39.84,2.5
260134,33037,2022-08-07 09:52,43.57,2.5
236698,25022,2022-08-07 10:00,46.7,2.5
260130,33035,2022-08-07 10:00,37.43,2.5
260139,33039,2022-08-07 10:25,37.3,2.5
60904,18312,2022-08-07 10:38,58.26,2.5
260143,33042,2022-08-07 10:46,35.66,2.5
260141,33040,2022-08-07 10:52,38.06,2.5
257440,35,2022-08-07 11:06,78.57,2.5
260147,33046,2022-08-07 11:06,37.89,2.5
260154,33050,2022-08-07 11:37,35.37,2.5
260160,33057,2022-08-07 11:44,47.32,2.5
252787,27569,2022-08-07 12:34,36.21,2.5
231040,23403,2022-08-07 12:35,32.16,2.5
252812,9053,2022-08-07 12:46,74.24,2.5
260176,33068,2022-08-07 12:54,46.62,2.5
260178,33070,2022-08-07 13:04,40.35,2.5
258652,32041,2022-08-07 13:09,50.98,2.5
260182,33073,2022-08-07 13:10,38.1,2.5
1943,4275,2022-08-07 13:12,37.26,2.5
260188,33079,2022-08-07 13:35,50.46,2.5
260190,33081,2022-08-07 13:36,67.85,2.5
260189,33080,2022-08-07 13:42,48.04,2.5
255052,6265,2022-08-07 14:34,53.66,2.5
260202,33088,2022-08-07 14:39,37.7,2.5
260218,33095,2022-08-07 15:36,37.29,2.5
260221,33096,2022-08-07 15:50,67.04,2.5
260212,29867,2022-08-07 15:53,30.66,2.5
257370,21538,2022-08-07 16:40,168.76,2.5
260233,33104,2022-08-07 16:47,36.87,2.5
239361,18400,2022-08-07 17:25,42.58,2.5
260237,33107,2022-08-07 17:33,38.72,2.5
260247,33114,2022-08-07 17:43,38.35,2.5
260255,33120,2022-08-07 18:38,37.82,2.5
255186,29931,2022-08-07 18:48,40.76,2.5
238490,25467,2022-08-07 18:56,30.12,2.5
260260,31235,2022-08-07 19:08,204.99,2.5
260273,33130,2022-08-07 19:41,46.83,2.5
260275,33131,2022-08-07 20:00,46.7,2.5
260280,33134,2022-08-07 20:04,36.78,2.5
260284,33138,2022-08-07 21:01,69.85,2.5
260288,33139,2022-08-07 21:04,38.43,2.5
254204,7669,2022-08-07 21:36,26.69,6.0
30710,13013,2022-08-07 22:29,73.24,2.5
260299,33145,2022-08-08 00:20,71.64,2.5
260304,33147,2022-08-08 04:46,37.84,2.5
256078,4545,2022-08-08 05:17,76.86,2.5
260305,33148,2022-08-08 05:19,39.56,2.5
260319,33155,2022-08-08 07:36,36.95,2.5
260328,33161,2022-08-08 08:57,38.85,2.5
260242,33111,2022-08-08 09:25,43.01,2.5
260345,33174,2022-08-08 10:06,38.66,2.5
258061,31726,2022-08-08 10:52,44.48,2.5
257568,30427,2022-08-08 11:05,45.95,2.5
255205,30160,2022-08-08 11:09,40.95,2.5
260371,33192,2022-08-08 11:15,40.23,2.5
260364,33185,2022-08-08 11:19,41.46,2.5
260389,33203,2022-08-08 12:15,38.28,2.5
260397,33208,2022-08-08 12:42,46.84,2.5
260368,33190,2022-08-08 12:51,41.11,2.5
260400,33209,2022-08-08 13:20,47.5,2.5
259065,31395,2022-08-08 13:27,66.44,2.5
239058,25750,2022-08-08 13:30,69.36,2.5
260406,33213,2022-08-08 13:33,37.26,2.5
260410,33216,2022-08-08 13:40,38.38,2.5
260417,33221,2022-08-08 14:02,43.78,2.5
260419,33223,2022-08-08 14:12,52.47,2.5
260408,33214,2022-08-08 14:14,37.24,2.5
260424,33224,2022-08-08 14:24,48.7,2.5
260366,33187,2022-08-08 15:28,36.91,2.5
249014,8037,2022-08-08 15:30,63.07,2.5
260150,33047,2022-08-08 15:46,36.68,2.5
260443,33238,2022-08-08 16:22,36.73,2.5
260448,33242,2022-08-08 16:25,37.33,2.5
260454,33244,2022-08-08 16:34,45.33,2.5
239428,18728,2022-08-08 16:41,73.94,2.5
260455,33245,2022-08-08 16:45,38.47,2.5
255084,26497,2022-08-08 16:52,27.81,6.0
260461,33250,2022-08-08 16:54,38.41,2.5
260467,33253,2022-08-08 17:27,48.1,2.5
254478,29681,2022-08-08 17:27,31.21,2.5
260468,33254,2022-08-08 17:30,37.75,2.5
260474,33257,2022-08-08 17:31,46.21,2.5
254486,116,2022-08-08 17:33,33.8,2.5
260482,33260,2022-08-08 17:48,40.76,2.5
260483,33261,2022-08-08 18:00,40.43,2.5
260493,33270,2022-08-08 19:02,43.57,2.5
260500,33275,2022-08-08 19:20,37.94,2.5
